"angle relative to rotation stage (degrees) (0 is max with no sample, 180 would block laser beam) - Plot 0"	Lock-in Signal Amplitude (V) - Plot 0
116.999	0.000456097
116.749	0.000453772
116.499	0.000452938
116.249	0.000452222
115.999	0.000444474
115.749	0.00044352
115.499	0.000443818
115.249	0.000444116
114.999	0.000442805
114.749	0.000444474
114.499	0.000447514
114.249	0.00044799
114	0.000450851
113.749	0.000456037
113.5	0.000451686
113.25	0.000457944
113	0.000454606
112.75	0.000455024
112.5	0.000451507
112.25	0.00045103
112	0.000448467
111.75	0.000446321
111.5	0.000450792
111.25	0.000449361
111	0.000455083
110.75	0.000452997
110.5	0.000455262
110.25	0.000456454
110	0.00045407
109.75	0.000453236
109.5	0.000460627
109.25	0.000456633
109.001	0.000460746
108.75	0.000462415
108.5	0.000466289
108.25	0.000466885
108	0.000467541
107.75	0.000467302
107.5	0.00047523
107.25	0.000479044
107	0.000483634
106.75	0.000483098
106.5	0.000481071
106.25	0.000476422
106	0.000477554
105.75	0.000475349
105.5	0.000478329
105.25	0.000487091
105	0.000488821
104.75	0.000498597
104.5	0.000496987
104.25	0.00050265
104	0.000503365
103.75	0.000505213
103.5	0.000510637
103.25	0.000510935
103	0.000519816
102.75	0.000518385
102.5	0.000518266
102.25	0.000517432
102	0.000522081
101.75	0.000526611
101.5	0.000533108
101.25	0.000537578
101	0.000543121
100.75	0.00055379
100.5	0.000556711
100.25	0.000555757
99.9996	0.000559334
99.7496	0.000564281
99.4996	0.0005734
99.2496	0.000576798
98.9996	0.000576917
98.7496	0.000577275
98.4996	0.00057793
98.2496	0.000586096
97.9996	0.000592116
97.7496	0.000589613
97.4996	0.000587884
97.2496	0.000592533
96.9996	0.000590567
96.7496	0.000591818
96.4996	0.000598613
96.2496	0.000607196
95.9996	0.000616912
95.7496	0.000621978
95.4996	0.000625972
95.2496	0.000622395
94.9996	0.000623707
94.7496	0.000612561
94.4996	0.000614408
94.2496	0.00061119
93.9997	0.000607792
93.7497	0.000608686
93.4997	0.000599805
93.2497	0.000598256
92.9997	0.000594381
92.7504	0.000598077
92.5004	0.000598315
92.2497	0.000604454
92.0004	0.000611249
91.7497	0.000610832
91.4997	0.00061411
91.2497	0.000604812
90.9997	0.000599924
90.7497	0.000592832
90.4997	0.000593785
90.2497	0.000584844
89.9997	0.000590269
89.7497	0.000589374
89.4997	0.000582997
89.2497	0.000575129
88.9997	0.000566844
88.7497	0.000557665
88.4997	0.000548963
88.2497	0.000529949
87.9997	0.000523631
87.7497	0.000515345
87.4997	0.000523392
87.2497	0.000524644
86.9997	0.0005343
86.7497	0.000533644
86.4997	0.000528459
86.2497	0.000523333
85.9997	0.000514928
85.7497	0.000509623
85.4997	0.000505213
85.2497	0.000497166
84.9997	0.000492398
84.7497	0.000484528
84.4997	0.000471355
84.2497	0.000465276
83.9997	0.00045413
83.7497	0.000456633
83.4997	0.000454785
83.2497	0.00045264
82.9997	0.000456037
82.7497	0.000450613
82.4997	0.000442149
82.2497	0.000435712
81.9997	0.000427725
81.7497	0.000419678
81.4997	0.000415387
81.2498	0.000413598
80.9998	0.000409903
80.7498	0.000403645
80.4998	0.000399055
80.2498	0.0003922
79.9998	0.000388326
79.7498	0.000378491
79.4998	0.000378968
